Emp.	Item	Descrição do Item	Cód. Grupo-Estoque	Des. Grupo-Estoque	Cód. Sub-Grupo	Des. Sub-Grupo	Cód. Fam-Comercial	Des. Fam-Comercial	Depósito	Localização	Nro Lote	Validade Lote	Nro Peça	Und	Qtde Disponível	Valor Médio	Valor Total
100	10259	REBOLO RETO DIM 6X3/4POL TIPO ABRASIVO OXIDO ALUM GRANULOMETRIA 60 S/BUCHA	07000009	MATERIAL DE CONSUMO	00000119	ABRASIVOS E MAT. P/POLIMENTO	00000126	ABRASIVOS	001					UN	1,000000	47,65	47,65
100	10260	CHAVE BIELA PERFIL SOQUETE SEXTAVADO BITOLA 14MM MAT ACO NIQUELADO COMP 250MM	07000009	MATERIAL DE CONSUMO	107	FERRAMENTAS	109	FERRAMENTAS MANUAIS	001					UN	1,000000	54,50	54,50
100	10261	PLACA SINALIZACAO ADESIVA MAT POLIESTIRENO DIM 20X30CM CAT E8 COR FUNDO VM TEXTO HIDRANTE ILUSTR H	07000009	MATERIAL DE CONSUMO	00000071	PAPELARIA, INFORMATICA, ESCRIT	118	MAT. GRAFICOS E PAPELARIA	001					UN	1,000000	23,71	23,71
100	10262	TUBO CONDUCAO ACO CARBONO NORMA NBR 5580 ACAB ENEGRECIDO DIAM NOM 2POL ESP 3MM EXTREMIDADE LISA	07000009	MATERIAL DE CONSUMO	00000099	TUBOS, CONEXOES E ACESSORIOS	00000046	TUBOS METALICOS	001					UN	1,000000	345,00	345,00
100	10263	CADEADO MAT CORPO LATAO LARG CORP 35MM HASTE CURTA ALT HASTE 33MM MAT HASTE ACO C/2 CHAVES LATAO	07000009	MATERIAL DE CONSUMO	00000100	HIGIENE, SAUDE E SEGURANCA	00000149	SEGURANCA INDUSTRIAL PECAS E A	001					UN	5,000000	0,00	0,00
100	10264	MASSA CORRIDA COR BR SECAGEM 1-4H LATA 3,6L	07000012	MATERIAIS MANUTENCAO PREDIAL	00000081	TINTA, MAT. P/PINTURA, ADESIVO	00000150	PROD. P/PREP. E ACAB. PINTURA	001					UN	1,000000	0,00	0,00
100	10278	FORTCOM 3110 STD P	00000106	PRODUTO ACABADO	00000010	PRODUTO ACABADO	00000003	RESINAS	003		R1 - 0250			KG	2.860,000000	10,76	30.782,61
100	441	BOTINA SEG MAT COURO HIDROFUGADO COR PT SOLADO PU BIDEN PT NUM 44 CANO CURTO BICO ACO FECHAM ELASTICO LATERAL CA28511	100	MATERIAL USO/CONSUMO	106	EPI	108	EQUIPAMENTOS PROTECAO INDIVIDU	001					PA	1,000000	0,00	0,00
100	530	COLETE SINALIZACAO TIPO JAQUETA MAT PES COR LJ C/ZIPER/BOLSO TAM M	100	MATERIAL USO/CONSUMO	106	EPI	108	EQUIPAMENTOS PROTECAO INDIVIDU	001					UN	2,000000	17,40	34,80
100	532	COLETE SINALIZACAO TIPO JAQUETA MAT PES COR LJ C/ZIPER/BOLSO TAM GG	100	MATERIAL USO/CONSUMO	106	EPI	108	EQUIPAMENTOS PROTECAO INDIVIDU	001					UN	2,000000	17,40	34,80
