CodigoItem	DescricaoItem	CodNovo_GrupoEstoque	NomeNovo_GrupoEstoque	Cod_GrupoEstoque_Old	NomeGrupoEstoque_Old	CodNovo_SubGrupo	NomeNovo_SubGrupo	Cod_SubGrupo_Old	NomeSubGrupo_Old	CodNovo_FC	NomeNovo_FC	CodFC_Old	NomeFC_Old
745	ACESSORIO MASCARA/RESPIRADOR ANEL BORRACHA VEDACAO MASCARA FACIAL INTEIRA 6800 6895 3M	7000023	UNIFORME/EPI-EQUIP PROTECAO	07000009	MATERIAL USO/CONSUMO	00000037	HIGIENE, SAUDE E SEGURANCA	106	EPI	108	EQUIPAMENTOS PROTECAO INDIVIDU	108	EQUIPAMENTOS PROTECAO INDIVIDU
736	ACESSORIO MASCARA/RESPIRADOR COPA NASAL HB004317671 MASCARA 6800 6894 3M	7000023	UNIFORME/EPI-EQUIP PROTECAO	07000009	MATERIAL USO/CONSUMO	00000037	HIGIENE, SAUDE E SEGURANCA	106	EPI	108	EQUIPAMENTOS PROTECAO INDIVIDU	108	EQUIPAMENTOS PROTECAO INDIVIDU
737	ACESSORIO MASCARA/RESPIRADOR LENTE REPOSICAO MASCARA FACIAL INTEIRA 6800 6898 3M	7000023	UNIFORME/EPI-EQUIP PROTECAO	07000009	MATERIAL USO/CONSUMO	00000037	HIGIENE, SAUDE E SEGURANCA	106	EPI	108	EQUIPAMENTOS PROTECAO INDIVIDU	108	EQUIPAMENTOS PROTECAO INDIVIDU
738	ACESSORIO MASCARA/RESPIRADOR RETENTOR 501 FILTRO MASCARA FACIAL INTEIRA 6800 501 3M	7000023	UNIFORME/EPI-EQUIP PROTECAO	07000009	MATERIAL USO/CONSUMO	00000037	HIGIENE, SAUDE E SEGURANCA	106	EPI	108	EQUIPAMENTOS PROTECAO INDIVIDU	108	EQUIPAMENTOS PROTECAO INDIVIDU
739	ACESSORIO MASCARA/RESPIRADOR SUPORTE LENTE MASCARA FACIAL INTEIRA 6800 6899 3M	7000023	UNIFORME/EPI-EQUIP PROTECAO	07000009	MATERIAL USO/CONSUMO	00000037	HIGIENE, SAUDE E SEGURANCA	106	EPI	108	EQUIPAMENTOS PROTECAO INDIVIDU	108	EQUIPAMENTOS PROTECAO INDIVIDU
740	ACESSORIO MASCARA/RESPIRADOR TIRANTE MASCARA FACIAL INTEIRA 6800 6897 3M	7000023	UNIFORME/EPI-EQUIP PROTECAO	07000009	MATERIAL USO/CONSUMO	00000037	HIGIENE, SAUDE E SEGURANCA	106	EPI	108	EQUIPAMENTOS PROTECAO INDIVIDU	108	EQUIPAMENTOS PROTECAO INDIVIDU
746	ACESSORIO MASCARA/RESPIRADOR VALVULA EXALACAO MASCARA FACIAL INTEIRA 6800 7583 3M	7000023	UNIFORME/EPI-EQUIP PROTECAO	07000009	MATERIAL USO/CONSUMO	00000037	HIGIENE, SAUDE E SEGURANCA	106	EPI	108	EQUIPAMENTOS PROTECAO INDIVIDU	108	EQUIPAMENTOS PROTECAO INDIVIDU
742	ACESSORIO MASCARA/RESPIRADOR VALVULA INALACAO MASCARA FACIAL INTEIRA 6800 6889 3M	7000023	UNIFORME/EPI-EQUIP PROTECAO	07000009	MATERIAL USO/CONSUMO	00000037	HIGIENE, SAUDE E SEGURANCA	106	EPI	108	EQUIPAMENTOS PROTECAO INDIVIDU	108	EQUIPAMENTOS PROTECAO INDIVIDU
030124	ACETATO DE ETILA	30000022	MERCADORIA REVENDA NACIONAL	00000105	MERCADORIA PARA REVENDA	30000009	MERCADORIA PARA REVENDA NACION	30000009	MERCADORIA PARA REVENDA NACION	00000028	ACETATO	00000028	ACETATO
040022	ACETATO DE ETILA (TB)	30000022	MERCADORIA REVENDA NACIONAL	00000105	MERCADORIA PARA REVENDA	00000007	MERCADORIA PARA REVENDA NACION	00000007	MERCADORIA PARA REVENDA NACION	00000028	ACETATO	00000028	ACETATO
030138	ACETATO DE ISOAMILA	01000002	MATERIA-PRIMA NACIONAL	010101	MATERIA PRIMA	00000002	MATERIA PRIMA NACIONAL	00000002	MATERIA PRIMA NACIONAL	00000006	OUTROS INSUMOS	00000006	OUTROS INSUMOS
010000	ACETATO DE ZINCO	01000002	MATERIA-PRIMA NACIONAL	010101	MATERIA PRIMA	00000002	MATERIA PRIMA NACIONAL	00000002	MATERIA PRIMA NACIONAL	00000006	OUTROS INSUMOS	00000006	OUTROS INSUMOS
030166	ACETATO VINILA	01000002	MATERIA-PRIMA NACIONAL	010101	MATERIA PRIMA	00000002	MATERIA PRIMA NACIONAL	00000002	MATERIA PRIMA NACIONAL	00000006	OUTROS INSUMOS	00000006	OUTROS INSUMOS
030188	ACETYL M7030	01000002	MATERIA-PRIMA NACIONAL	010101	MATERIA PRIMA	00000002	MATERIA PRIMA NACIONAL	00000002	MATERIA PRIMA NACIONAL	00000015	QUÍMICOS	00000015	QUÍMICOS
030126	ACIDO ACETICO GLACIAL (GAA)	01000002	MATERIA-PRIMA NACIONAL	01000002	MATERIA PRIMA	30000009	OUTROS MATERIA PRIMA	30000009	OUTROS MATERIA PRIMA	00000006	OUTROS INSUMOS	00000006	OUTROS INSUMOS
010001	ACIDO ADIPICO	01000002	MATERIA-PRIMA NACIONAL	010101	MATERIA PRIMA	00000002	MATERIA PRIMA NACIONAL	00000002	MATERIA PRIMA NACIONAL	00000006	OUTROS INSUMOS	00000006	OUTROS INSUMOS
010002	ACIDO BENZOICO	01000002	MATERIA-PRIMA NACIONAL	010101	MATERIA PRIMA	00000002	MATERIA PRIMA NACIONAL	00000002	MATERIA PRIMA NACIONAL	00000006	OUTROS INSUMOS	00000006	OUTROS INSUMOS
010003	ACIDO FOSFORICO	01000002	MATERIA-PRIMA NACIONAL	010101	MATERIA PRIMA	00000002	MATERIA PRIMA NACIONAL	00000002	MATERIA PRIMA NACIONAL	00000006	OUTROS INSUMOS	00000006	OUTROS INSUMOS
010004	ACIDO FUMARICO	01000002	MATERIA-PRIMA NACIONAL	010101	MATERIA PRIMA	00000002	MATERIA PRIMA NACIONAL	00000002	MATERIA PRIMA NACIONAL	00000006	OUTROS INSUMOS	00000006	OUTROS INSUMOS
010005	ACIDO ISOFTALICO	01000002	MATERIA-PRIMA NACIONAL	010101	MATERIA PRIMA	00000002	MATERIA PRIMA NACIONAL	00000002	MATERIA PRIMA NACIONAL	00000006	OUTROS INSUMOS	00000006	OUTROS INSUMOS
030150	ACIDO TEREFTALATICO	01000002	MATERIA-PRIMA NACIONAL	010101	MATERIA PRIMA	00000002	MATERIA PRIMA NACIONAL	00000002	MATERIA PRIMA NACIONAL	00000006	OUTROS INSUMOS	00000006	OUTROS INSUMOS
100208	ACUCAR CRISTAL 1KG	07000011	MATERIAL DE COPA E COZINHA	07000009	MATERIAL USO/CONSUMO	100	PRODUTOS ALIMENTICIOS	100	PRODUTOS ALIMENTICIOS	101	MAT. P/PREPARACAO ALIMENTOS	00000039	PRODUTOS ALIMENTICIOS
374	ACUCAR REFINADO 1KG	07000011	MATERIAL DE COPA E COZINHA	07000009	MATERIAL USO/CONSUMO	100	PRODUTOS ALIMENTICIOS	100	PRODUTOS ALIMENTICIOS	101	MAT. P/PREPARACAO ALIMENTOS	00000039	PRODUTOS ALIMENTICIOS
100209	ACUCAR REFINADO SACHE CX C/400 UN	07000011	MATERIAL DE COPA E COZINHA	07000009	MATERIAL USO/CONSUMO	100	PRODUTOS ALIMENTICIOS	100	PRODUTOS ALIMENTICIOS	101	MAT. P/PREPARACAO ALIMENTOS	101	MAT. P/PREPARACAO ALIMENTOS
100158	ADAPTADOR P/SOLDAGEM MAT BZ DIM 13MMX9MM CONEXAO M18X1,5 PRESSAO 300	07000009	MATERIAL DE CONSUMO	07000009	MATERIAL USO/CONSUMO	00000056	MATERIAIS ELETRONICOS	00000056	MATERIAIS ELETRONICOS	00000058	COMPONENTES ELETRONICOS	00000058	COMPONENTES ELETRONICOS
100268	ADAPTADOR PVC RIGIDO PREDIAL CURTO AGUA FRIA CONEXAO ROSCAVEL DIAM 25MMX3/4POL	07000012	MATERIAIS MANUTENCAO PREDIAL	07000009	MATERIAL USO/CONSUMO	00000047	TUBOS, CONEXOES E ACESSORIOS	00000047	TUBOS, CONEXOES E ACESSORIOS	00000072	CONEXOES NAO METALICAS	00000072	CONEXOES NAO METALICAS
100204	ADESIVO NUMERICO MAT POLIETILENO REDONDO DIM 9X5CM TEXTO NUM 1 PT	07000007	MATERIAL DE ESCRITORIO	07000009	MATERIAL USO/CONSUMO	00000060	PAPELARIA, INFORMATICA, ESCRIT	00000044	PAPELARIA	118	MAT. GRAFICOS E PAPELARIA	118	MAT. GRAFICOS E PAPELARIA
100049	ADESIVO SELANTE MONO-COMPONENTE TEMPO SECAGEM 20MIN COR VM EMB 50G	07000012	MATERIAIS MANUTENCAO PREDIAL	07000009	MATERIAL USO/CONSUMO	00000080	TINTA, MAT. P/PINTURA, ADESIVO	00000038	TINTA, MATERIAIS PARA PINTURA	105	ADESIVOS, FITAS E SOL. QUIM.	105	ADESIVOS E COLAS
100117	ADESIVO SINALIZACAO MAT PAPEL APERGAMINHADO COR PT DIM 6X10CM FORMATO RETANG TEXTO NUM 0-9	07000007	MATERIAL DE ESCRITORIO	07000009	MATERIAL USO/CONSUMO	00000037	HIGIENE, SAUDE E SEGURANCA	00000037	HIGIENE, SAUDE E SEGURANCA	00000040	SEGURANCA INDUSTRIAL PECAS	00000040	SEGURANCA INDUSTRIAL PECAS
1076	ADITIVO P/OLEO COMBUSTIVEL ESTADO LIQUIDO FUNCAO ANTI CORROSAO DENSIDADE 1G/CM³	07000008	COMBUSTIVEL E LUBRIFICANTE	07000009	MATERIAL USO/CONSUMO	00000063	LUBRIF, OLEOS HIDRAULICOS, SOL	104	LUBRIF, OLEOS HIDRAULICOS	112	COMBUSTIVEIS LIQUIDOS	112	COMBUSTIVEIS LIQUIDOS
1078	ADITIVO P/RADIADOR BASE ETILENOGLICOL APRES 1L TIPO ARREFECIMENTO	07000008	COMBUSTIVEL E LUBRIFICANTE	07000009	MATERIAL USO/CONSUMO	00000063	LUBRIF, OLEOS HIDRAULICOS, SOL	108	MAT P/MOTOS E AUTOMOTIVOS	112	COMBUSTIVEIS LIQUIDOS	114	ACESSORIOS P/MOTOS/AUTOMOVEIS
377	ADOCANTE DIETETICO ESTADO FISICO LIQ VALOR CALORICO 0,1KCAL EMB 100ML	07000011	MATERIAL DE COPA E COZINHA	07000009	MATERIAL USO/CONSUMO	100	PRODUTOS ALIMENTICIOS	100	PRODUTOS ALIMENTICIOS	101	MAT. P/PREPARACAO ALIMENTOS	101	MAT. P/PREPARACAO ALIMENTOS
376	ADOCANTE DIETETICO ESTADO FISICO PO VALOR CALORICO 0,1KCAL EMB C/50UN 0,6G	07000011	MATERIAL DE COPA E COZINHA	07000009	MATERIAL USO/CONSUMO	100	PRODUTOS ALIMENTICIOS	100	PRODUTOS ALIMENTICIOS	101	MAT. P/PREPARACAO ALIMENTOS	101	MAT. P/PREPARACAO ALIMENTOS
1077	AGUA DEIONIZADA/DESMINERALIZADA BOMBONA 20L	07000009	MATERIAL DE CONSUMO	07000009	MATERIAL USO/CONSUMO	00000037	HIGIENE, SAUDE E SEGURANCA	00000037	HIGIENE, SAUDE E SEGURANCA	00000056	PROD. QUIMICOS INDUSTRIAIS	113	PROD. QUIMICOS P/ANALISE LAB.
748	AGUA MINERAL SEM GAS GALAO 20L C/TAMPA	07000011	MATERIAL DE COPA E COZINHA	07000009	MATERIAL USO/CONSUMO	100	PRODUTOS ALIMENTICIOS	100	PRODUTOS ALIMENTICIOS	101	MAT. P/PREPARACAO ALIMENTOS	111	BEBIDAS NAO ALCOOLICAS
100184	AGUA POTAVEL	07000009	MATERIAL DE CONSUMO	07000009	MATERIAL USO/CONSUMO	100	PRODUTOS ALIMENTICIOS	100	PRODUTOS ALIMENTICIOS	101	MAT. P/PREPARACAO ALIMENTOS	111	BEBIDAS NAO ALCOOLICAS
382	AGUA SANITARIA 5L	07000018	MATERIAL HIG/LIMPEZA	07000009	MATERIAL USO/CONSUMO	00000037	HIGIENE, SAUDE E SEGURANCA	00000016	MATERIAIS HIGIENE/LIMPEZA	00000032	HIGIENE/LIMPEZA E ACESSORIOS	00000032	HIGIENE/LIMPEZA E ACESSORIOS
10052	ALCOOL 99,5%	01000002	MATERIA-PRIMA NACIONAL	010101	MATERIA PRIMA	00000002	MATERIA PRIMA NACIONAL	00000002	MATERIA PRIMA NACIONAL	00000006	OUTROS INSUMOS	00000006	OUTROS INSUMOS
010006	ALCOOL 99,5%	01000002	MATERIA-PRIMA NACIONAL	010101	MATERIA PRIMA	00000002	MATERIA PRIMA NACIONAL	00000002	MATERIA PRIMA NACIONAL	00000006	OUTROS INSUMOS	00000006	OUTROS INSUMOS
750	ALCOOL ETILICO FUNCAO LIMPEZA E DESINFECCAO INPM 70° ESTADO FISICO GEL C/DOSADOR EMB 500ML	07000018	MATERIAL HIG/LIMPEZA	07000009	MATERIAL USO/CONSUMO	00000037	HIGIENE, SAUDE E SEGURANCA	00000037	HIGIENE, SAUDE E SEGURANCA	00000032	HIGIENE/LIMPEZA E ACESSORIOS	00000032	HIGIENE/LIMPEZA E ACESSORIOS
752	ALCOOL ETILICO FUNCAO LIMPEZA E DESINFECCAO INPM 70° ESTADO FISICO GEL S/DOSADOR EMB 5L	07000018	MATERIAL HIG/LIMPEZA	07000009	MATERIAL USO/CONSUMO	00000037	HIGIENE, SAUDE E SEGURANCA	00000037	HIGIENE, SAUDE E SEGURANCA	00000032	HIGIENE/LIMPEZA E ACESSORIOS	00000032	HIGIENE/LIMPEZA E ACESSORIOS
751	ALCOOL ETILICO FUNCAO LIMPEZA E DESINFECCAO INPM 70° ESTADO FISICO LIQ REFIL SPRAY EMB 400ML	07000018	MATERIAL HIG/LIMPEZA	07000009	MATERIAL USO/CONSUMO	00000037	HIGIENE, SAUDE E SEGURANCA	00000037	HIGIENE, SAUDE E SEGURANCA	00000032	HIGIENE/LIMPEZA E ACESSORIOS	00000032	HIGIENE/LIMPEZA E ACESSORIOS
030137	ALCOOL HIDRATADO	01000002	MATERIA-PRIMA NACIONAL	010101	MATERIA PRIMA	00000002	MATERIA PRIMA NACIONAL	00000002	MATERIA PRIMA NACIONAL	00000006	OUTROS INSUMOS	00000006	OUTROS INSUMOS
ALC.HIDR.K	ALCOOL HIDRATADO - K	01000002	MATERIA-PRIMA NACIONAL	010101	MATERIA PRIMA	00000002	MATERIA PRIMA NACIONAL	00000002	MATERIA PRIMA NACIONAL	00000006	OUTROS INSUMOS	00000006	OUTROS INSUMOS
030130	ALCOOL ISOAMILICO	01000002	MATERIA-PRIMA NACIONAL	010101	MATERIA PRIMA	00000002	MATERIA PRIMA NACIONAL	00000002	MATERIA PRIMA NACIONAL	00000006	OUTROS INSUMOS	00000006	OUTROS INSUMOS
030168	ALCOOL METILICO 1000ML	01000002	MATERIA-PRIMA NACIONAL	010101	MATERIA PRIMA	00000002	MATERIA PRIMA NACIONAL	00000002	MATERIA PRIMA NACIONAL	00000006	OUTROS INSUMOS	00000006	OUTROS INSUMOS
100276	ALICATE UNIVERSAL MAT ACO EMPUNHADURA POLIMERO COR LJ TAM 8POL ISOL 1000V	07000009	MATERIAL DE CONSUMO	07000009	MATERIAL USO/CONSUMO	107	FERRAMENTAS	107	FERRAMENTAS	109	FERRAMENTAS MANUAIS	109	FERRAMENTAS MANUAIS
100000	ANALISE POTABILIDADE AGUA	30000003	SERVICOS - PJ	00000103	SERVICOS - PJ	00000017	SERVICOS - PJ	00000106	SERVICOS - PJ	00000012	SERVIÇOS	00000012	SERVIÇOS
010007	ANIDRIDO FTALICO	01000002	MATERIA-PRIMA NACIONAL	010101	MATERIA PRIMA	00000013	OUTROS MATERIA PRIMA	00000013	OUTROS MATERIA PRIMA	00000006	OUTROS INSUMOS	00000006	OUTROS INSUMOS
725	ANIDRIDO FTALICO IMP	01000002	MATERIA-PRIMA NACIONAL	010101	MATERIA PRIMA	00000013	OUTROS MATERIA PRIMA	00000013	OUTROS MATERIA PRIMA	00000006	OUTROS INSUMOS	00000006	OUTROS INSUMOS
010008	ANIDRIDO MALEICO	01000002	MATERIA-PRIMA NACIONAL	010101	MATERIA PRIMA	00000002	MATERIA PRIMA NACIONAL	00000002	MATERIA PRIMA NACIONAL	00000006	OUTROS INSUMOS	00000006	OUTROS INSUMOS
726	ANIDRIDO MALEICO IMP	01000002	MATERIA-PRIMA NACIONAL	010101	MATERIA PRIMA	00000013	OUTROS MATERIA PRIMA	00000013	OUTROS MATERIA PRIMA	00000006	OUTROS INSUMOS	00000006	OUTROS INSUMOS
010041	ANIDRIDO TETRAHIDROFTÁLICO (THPA)	01000002	MATERIA-PRIMA NACIONAL	010101	MATERIA PRIMA	00000002	MATERIA PRIMA NACIONAL	00000002	MATERIA PRIMA NACIONAL	00000006	OUTROS INSUMOS	00000006	OUTROS INSUMOS
ANU.CNQ	ANUIDADE CONSELHO NACIONAL DE QUIMICA	30000003	SERVICOS - PJ	00000103	SERVICOS - PJ	00000017	SERVICOS - PJ	00000017	SERVICOS - PJ	00000012	SERVIÇOS	00000012	SERVIÇOS
100253	APARA DE TECIDO PP	30000023	SUCATA	01000002	MATERIA PRIMA	30000010	SUCATAS	30000010	SUCATAS	00000010	SUCATA	00000010	SUCATA
100252	APARA PLASTICA DE FILME STRETCH	30000023	SUCATA	01000002	MATERIA PRIMA	30000010	SUCATAS	30000010	SUCATAS	00000010	SUCATA	00000010	SUCATA
100210	APONTADOR DE LAPIS C/DEPOSITO	07000007	MATERIAL DE ESCRITORIO	07000009	MATERIAL USO/CONSUMO	00000060	PAPELARIA, INFORMATICA, ESCRIT	00000105	ESCRITORIO	117	UTENSILIOS DE ESCRITORIO	117	UTENSILIOS DE ESCRITORIO
10034	AREIA P/CONSTRUCAO CIVIL TIPO MEDIA GRANULOMETRIA 1,2MM 1M³ SACO 20KG	07000012	MATERIAIS MANUTENCAO PREDIAL	07000009	MATERIAL USO/CONSUMO	00000042	MATERIAIS P/CONSTRUCAO CIVIL	00000042	MATERIAIS P/CONSTRUCAO CIVIL	00000076	AREIA	00000076	AREIA
100034	AROMATIZANTE PERFUME LAVANDA EMB 360ML	07000018	MATERIAL HIG/LIMPEZA	07000009	MATERIAL USO/CONSUMO	00000037	HIGIENE, SAUDE E SEGURANCA	00000037	HIGIENE, SAUDE E SEGURANCA	00000032	HIGIENE/LIMPEZA E ACESSORIOS	00000032	HIGIENE/LIMPEZA E ACESSORIOS
422	AVENTAL SEGURANCA MAT PVC COR PT/LJ DIM 1X1,20M FORRO PVC CA28303	7000023	UNIFORME/EPI-EQUIP PROTECAO	07000009	MATERIAL USO/CONSUMO	00000037	HIGIENE, SAUDE E SEGURANCA	106	EPI	108	EQUIPAMENTOS PROTECAO INDIVIDU	108	EQUIPAMENTOS PROTECAO INDIVIDU
425	AVENTAL SEGURANCA MAT RASPS COR CZ DIM 1X1,20M FORRO PVC CA10511	7000023	UNIFORME/EPI-EQUIP PROTECAO	07000009	MATERIAL USO/CONSUMO	00000037	HIGIENE, SAUDE E SEGURANCA	106	EPI	108	EQUIPAMENTOS PROTECAO INDIVIDU	108	EQUIPAMENTOS PROTECAO INDIVIDU
100133	BALAO FUNDO REDONDO MAT VIDRO BOROSILICATO VOLUME 500ML TIPO PESCOCO CURTO FECHAMENTO ROLHA	07000009	MATERIAL DE CONSUMO	07000009	MATERIAL USO/CONSUMO	00000070	LABORATORIO	110	LABORATORIO	126	INSTRUMENTOS P/LABORATORIO	126	INSTRUMENTOS P/LABORATORIO
100132	BALAO FUNDO REDONDO MAT VIDRO BOROSILICATO VOLUME 6000ML TIPO PESCOCO CURTO FECHAMENTO ROLHA	07000009	MATERIAL DE CONSUMO	07000009	MATERIAL USO/CONSUMO	00000070	LABORATORIO	110	LABORATORIO	126	INSTRUMENTOS P/LABORATORIO	126	INSTRUMENTOS P/LABORATORIO
10055	BALDE C/TAMPA CAPAC 20L MAT PLASTICO COR BR C/ALCA TAMPA PRESSAO CONSTR CILIND ALT 380 BOCA 260 ESP BALDE/TAMPA 1,5	07000009	MATERIAL DE CONSUMO	07000009	MATERIAL USO/CONSUMO	00000062	MAT P/ARMAZ E ENGARRAFAMENTO	00000062	MAT P/ARMAZ E ENGARRAFAMENTO	00000083	EMBALAGENS P/ARMAZ E ESTOCAGEM	00000083	EMBALAGENS P/ARMAZ E ESTOCAGEM
10056	BALDE C/TAMPA CAPAC 3,6L MAT PLASTICO COR BR C/ALCA TAMPA PRESSAO CONSTR CILIND ALT 156 BOCA 193 ESP BALDE/TAMPA 1,5	07000009	MATERIAL DE CONSUMO	07000009	MATERIAL USO/CONSUMO	00000062	MAT P/ARMAZ E ENGARRAFAMENTO	00000062	MAT P/ARMAZ E ENGARRAFAMENTO	00000083	EMBALAGENS P/ARMAZ E ESTOCAGEM	00000083	EMBALAGENS P/ARMAZ E ESTOCAGEM
010009	BENATHIX	01000002	MATERIA-PRIMA NACIONAL	010101	MATERIA PRIMA	00000002	MATERIA PRIMA NACIONAL	00000002	MATERIA PRIMA NACIONAL	00000006	OUTROS INSUMOS	00000006	OUTROS INSUMOS
030092	BENZOQUINONA	01000002	MATERIA-PRIMA NACIONAL	010101	MATERIA PRIMA	00000002	MATERIA PRIMA NACIONAL	00000002	MATERIA PRIMA NACIONAL	00000006	OUTROS INSUMOS	00000006	OUTROS INSUMOS
587	BERMUDA BRIM COR AZ ROYAL TAM G FECHAMENTO ELASTICO 2 BOLSOS DIANT/1 BOLSO TRASEIRO	7000023	UNIFORME/EPI-EQUIP PROTECAO	07000009	MATERIAL USO/CONSUMO	00000037	HIGIENE, SAUDE E SEGURANCA	00000037	HIGIENE, SAUDE E SEGURANCA	110	UNIFORMES E VESTUARIOS	110	UNIFORMES E VESTUARIOS
589	BERMUDA BRIM COR AZ ROYAL TAM G1 FECHAMENTO ELASTICO 2 BOLSOS DIANT/1 BOLSO TRASEIRO	7000023	UNIFORME/EPI-EQUIP PROTECAO	07000009	MATERIAL USO/CONSUMO	00000037	HIGIENE, SAUDE E SEGURANCA	00000037	HIGIENE, SAUDE E SEGURANCA	110	UNIFORMES E VESTUARIOS	110	UNIFORMES E VESTUARIOS
590	BERMUDA BRIM COR AZ ROYAL TAM G2 FECHAMENTO ELASTICO 2 BOLSOS DIANT/1 BOLSO TRASEIRO	7000023	UNIFORME/EPI-EQUIP PROTECAO	07000009	MATERIAL USO/CONSUMO	00000037	HIGIENE, SAUDE E SEGURANCA	00000037	HIGIENE, SAUDE E SEGURANCA	110	UNIFORMES E VESTUARIOS	110	UNIFORMES E VESTUARIOS
588	BERMUDA BRIM COR AZ ROYAL TAM GG FECHAMENTO ELASTICO 2 BOLSOS DIANT/1 BOLSO TRASEIRO	7000023	UNIFORME/EPI-EQUIP PROTECAO	07000009	MATERIAL USO/CONSUMO	00000037	HIGIENE, SAUDE E SEGURANCA	00000037	HIGIENE, SAUDE E SEGURANCA	110	UNIFORMES E VESTUARIOS	110	UNIFORMES E VESTUARIOS
586	BERMUDA BRIM COR AZ ROYAL TAM M FECHAMENTO ELASTICO 2 BOLSOS DIANT/1 BOLSO TRASEIRO	7000023	UNIFORME/EPI-EQUIP PROTECAO	07000009	MATERIAL USO/CONSUMO	00000037	HIGIENE, SAUDE E SEGURANCA	00000037	HIGIENE, SAUDE E SEGURANCA	110	UNIFORMES E VESTUARIOS	110	UNIFORMES E VESTUARIOS
585	BERMUDA BRIM COR AZ ROYAL TAM P FECHAMENTO ELASTICO 2 BOLSOS DIANT/1 BOLSO TRASEIRO	7000023	UNIFORME/EPI-EQUIP PROTECAO	07000009	MATERIAL USO/CONSUMO	00000037	HIGIENE, SAUDE E SEGURANCA	00000037	HIGIENE, SAUDE E SEGURANCA	110	UNIFORMES E VESTUARIOS	110	UNIFORMES E VESTUARIOS
