Cliente	CNPJ	Razão Social	Estado	Status	Licença da polícia Federal	Alvará da polícia civil	Certificado de vistoria da polícia civil 	Licença de transporte	Licença Exército	PRAZO BLOQUEIO
0031448	03.842.703/0001-55	CYAN QUIMICA LTDA	SC	ATIVO	31/08/2024	Aguardando	Não se aplica	Não se aplica	Não se aplica	Ok
0032099	09.471.917/0002-20	DENVER ESPECIALIDADES QUIMICAS LTDA	SP	ATIVO	27/12/2024	30/05/2024	30/05/2024	Não se aplica	Aguardando	Ok
0032098	09.471.917/0001-49	DENVER ESPECIALIDADES QUIMICAS LTDA	SP	ATIVO	16/05/2024	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0031801	21.984.010/0001-89	DIKKA INDUSTRIA QUIMICA LTDA	SP	ATIVO	05/02/2025	30/04/2024	31/12/2026	Não se aplica	Não se aplica	Ok
0031802	95.756.110/0001-94	DIOXYL REVESTIMENTOS QUIMICOS LTDA	SC	ATIVO	31/08/2024	Aguardando	Não se aplica	Não se aplica	Não se aplica	Ok
0031373	59.599.555/0001-44	DISSOLTEX INDUSTRIA QUIMICA LTDA	SP	ATIVO	06/07/2024	30/05/2024	30/05/2024	Não se aplica	Não se aplica	Ok
0032055	01.919.410/0001-01	DOHLER AMERICA LATINA LTDA	SP	ATIVO	29/03/2024	29/02/2024	31/12/2024	Não se aplica	Não se aplica	Ok
0032074	72.895.741/0001-99	DOMENICHELLI INDUSTRIA E COMERCIO LTDA	SP	ATIVO	31/08/2024	31/12/2024	31/12/2024	Não se aplica	Não se aplica	Ok
0031912	40.922.781/0001-96	DS BRASIL COMERCIAL LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0031403	09.054.341/0001-14	DYNATECH INDUSTRIAS QUIMICAS LTDA	SP	ATIVO	12/06/2024	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0032027	48.166.764/0001-88	ECO GREEN CHEMICAL LTDA	MG	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0032034	47.010.863/0001-03	EDEN QUIMICA INDUSTRIAL LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	14/07/2023
0032187	61.421.657/0004-60	ELECTRO PLASTIC LTDA EM RECUPERACAO JUDICIAL	MG	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0032000	22.038.548/0001-63	ELIT INDUSTRIA DE TINTAS E REVESTIMENTOS LTDA	ES	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0032180	04.716.366/0001-12	EMBALAGENS FLEXIVEIS DIADEMA	SP	ATIVO	12/06/2024	29/02/2024	31/12/2023	Não se aplica	Não se aplica	Ok
0032097	14.675.270/0005-30	EUCATEX INDUSTRIA E COMERCIO LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0030479	14.675.270/0002-98	EUCATEX INDUSTRIA E COMERCIO LTDA	SP	ATIVO	03/08/2024	31/12/2024	31/12/2024	Não se aplica	Não se aplica	Ok
0032164	37.611.975/0001-66	EUROLATINA QUIMICA LTDA	SP	ATIVO	20/01/2025	31/12/2024	30/12/2027	Não se aplica	Não se aplica	Ok
0032040	13.761.290/0001-38	EUROSTAR PRODUTOS GRAFICOS E COMUNICACAO VISUAL LT	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0032009	09.252.646/0001-30	FALCAO INDUSTRIA E COMERCIO DE TINTAS LTDA	MG	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0000794	85.111.441/0001-13	FARBEN S/A INDUSTRIA QUIMICA	SC	ATIVO	16/10/2024	Aguardando	Não se aplica	Não se aplica	Não se aplica	Ok
0031956	21.759.758/0001-88	FARMAX S.A.	MG	ATIVO	17/06/2024	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0031916	67.867.762/0001-60	FINEPACK INDUSTRIA TECNICA DE EMBALAGENS LIMITADA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0032072	61.360.574/0001-65	FIRMENICH & CIA LTDA	SP	ATIVO	16/07/2024	30/05/2024	30/05/2024	Não se aplica	Não se aplica	Ok
0032086	13.911.209/0001-59	FLEX QUIMICA COMERCIO DE PRODUTOS QUIMICOS LTDA	PR	ATIVO	11/09/2024	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0032102	55.183.248/0010-18	FORMILINE INDUSTRIA DE LAMINADOS LTDA	SP	ATIVO	20/12/2024	29/02/2024	29/02/2024	Não se aplica	Não se aplica	Ok
0032001	35.071.844/0001-08	FORTALEZA INDUSTRIA DE ADESIVOS LTDA	CE	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0032091	02.668.664/0001-59	FORTNITRO INDUSTRIA E COMERCIO DE PRODUTOS QUIMICO	SP	BLOQUEADO	Aguardando	29/02/2024	18/02/2025	Não se aplica	Não se aplica	Ok
0031921	38.903.822/0001-55	G. T. PRODUTOS ESPECIAIS INDUSTRIA E COMERCIO LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0031913	13.259.180/0001-72	G.A. COMPOSITOS COMERCIAL LTDA	RJ	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0031917	18.267.242/0001-01	GCOR INDUSTRIA E COMERCIO DE TINTAS E VERNIZES EIR	PR	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0031717	02.267.554/0001-85	GEKAR TINTAS LTDA	ES	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0031922	22.057.556/0001-57	GERI ADRIANI SCHUSTER 02271587921	PR	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0031847	05.974.331/0001-46	GLOBALCOLOR TINTAS INDUSTRIAIS LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	14/07/2023
0031841	03.198.606/0001-71	GLOBE QUIMICA SA	SP	BLOQUEADO	16/07/2024	29/02/2024	31/12/2023	Não se aplica	Não se aplica	Ok
0031924	24.488.386/0001-90	GOLD COMERCIO E DISTRIBUICAO EIRELI	MG	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0032010	29.788.820/0001-71	GOLD MEGAO INDUSTRIA DE TINTAS LTDA	PE	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0031984	10.486.894/0001-25	GOLDENCOR INDUSTRIA CATARINENSE DE TINTAS LIMITADA	SC	BLOQUEADO	Aguardando	Aguardando	Não se aplica	Não se aplica	Não se aplica	Ok
0031906		GREENTEX QUIMICA LTDA	SC	ATIVO	04/03/2025	28/02/2025	Não se aplica	Não se aplica	Não se aplica	Ok
0000178	28.730.390/0001-74	GUERRA & FILHO TRANSPORTES LTDA	SP	ATIVO	16/09/2024	Não se aplica	Não se aplica	29/02/2024	Não se aplica	Ok
0032082	76.176.643/0001-52	HARIMA DO BRASIL INDUSTRIA QUIMICA LTDA	PR	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0031834	18.177.506/0001-36	HAUS TINTAS E TEXTURAS LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0031920	43.829.282/0006-51	HB FULLER BRASIL LTDA	SC	ATIVO	22/06/2024	Aguardando	Não se aplica	Não se aplica	Não se aplica	Ok
0030040	03.300.841/0001-02	HEH TRANSPORTES LTDA ME	SP	ATIVO	03/02/2025	Não se aplica	Não se aplica	31/12/2023	Não se aplica	Ok
0031780	61.133.096/0001-50	HOENKA COMERCIAL LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0032223	43.085.349/0001-86	HOMY INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTD	SP	ATIVO	12/06/2024	31/12/2024	26/11/2024	Não se aplica	Não se aplica	14/07/2023
0032123	62.637.418/0001-61	HOROS INDUSTRIA DE TINTAS LTDA	SP	ATIVO	17/06/2024	30/05/2024	30/05/2024	Não se aplica	Não se aplica	Ok
0031950	24.169.150/0001-91	IBRAQ - INDUSTRIA BRASILEIRA DE PRODUTOS QUIMICOS	GO	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0032101	02.825.366/0001-25	ICQL QUIMICA LTDA	RJ	ATIVO	28/12/2024	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0031951	00.961.142/0001-15	IDEAL PRODUTOS QUIMICOS LTDA	RS	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0032013	40.614.437/0002-10	IGQ INDUSTRIA QUIMICA LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0032012	40.614.437/0001-30	IGQ INDUSTRIA QUIMICA UNIPESSOAL LTDA	PE	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Aguardando	Não se aplica	Ok
0031684	43.063.858/0002-99	INAPEL EMBALAGENS LTDA	SP	ATIVO	31/08/2024	30/05/2024	31/12/2024	Não se aplica	06/10/2023	Ok
0031623	43.063.858/0001-08	INAPEL EMBALAGENS LTDA	SP	ATIVO	03/08/2024	30/05/2024	30/05/2024	Não se aplica	Não se aplica	Ok
0000076	60.874.724/0001-96	INDUSTRIA QUIMICA ANASTACIO S/A	SP	ATIVO	16/10/2024	30/05/2024	31/12/2024	Não se aplica	Não se aplica	Ok
0031927	02.956.885/0001-22	INDUSTRIA QUIMICA REHNOLT LTDA	SC	BLOQUEADO	Aguardando	Aguardando	Não se aplica	Não se aplica	Não se aplica	Ok
0031818	61.409.355/0001-23	INDUTIL INDUSTRIA DE TINTAS LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0031693	05.969.339/0001-14	INK COLOR INDUSTRIA E COMERCIO DE TINTAS LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0030813	07.292.680/0001-03	INOQUIMICA INDUSTRIA E COMERCIO LTDA	BA	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	14/07/2023
0032025	05.328.961/0001-43	INSETIMAX INDUSTRIA QUIMICA LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0032085	10.440.534/0001-92	INTERBRILHO HIGIENE E LIMPEZA LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0030683	00.557.713/0001-50	INTERCROMA SA	SC	BLOQUEADO	Aguardando	Aguardando	Não se aplica	Não se aplica	Não se aplica	Ok
0031991	02.210.579/0002-23	INX DO BRASIL LTDA	SP	ATIVO	01/09/2024	29/02/2024	31/12/2025	Não se aplica	Não se aplica	Ok
0031464	42.183.698/0001-78	IQC COMERCIAL QUIMICA LTDA	SP	ATIVO	11/08/2024	29/02/2024	31/12/2023	Não se aplica	09/12/2023	Ok
0030402	07.098.541/0001-43	IQL INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	14/07/2023
0032030	71.882.260/0001-86	ISOFIO INDUSTRIA E COMERCIO LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0032039	05.079.776/0001-62	IVA QUIMICA DO BRASIL EIRELI	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0032007	02.963.523/0001-69	J LARA INDUSTRIA DE MAQUINAS E PRODUTOS DE LIMPEZA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0031754	05.909.938/0001-42	J.R.I. INDUSTRIA GOIANA DE TINTAS LTDA	GO	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0031992	27.358.028/0001-51	JEFERSON DE SOUSA BORGES	MG	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0032083	02.100.181/0001-53	JHF COMERCIO E INDUSTRIA DE PRODUTOS QUIMICOS LTDA	RJ	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0000063	05.298.436/0001-22	KALIPPLASTHE INDUSTRIA E COMERCIO LTDA ME	SC	BLOQUEADO	Aguardando	Aguardando	Não se aplica	Não se aplica	Não se aplica	Ok
0032080	02.332.686/0008-10	KERRY DO BRASIL LTDA	SP	ATIVO	31/08/2024	29/02/2024	31/12/2023	Não se aplica	Não se aplica	Ok
0032112	91.671.578/0001-25	KILLING S.A. TINTAS E ADESIVOS	RS	ATIVO	03/08/2024	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0032111	91.671.578/0006-30	KILLING SA TINTAS E ADESIVOS	BA	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0032005	14.879.139/0001-61	KLUTHE QUIMICA DO BRASIL LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0031785	02.215.956/0001-36	LABORSAN AGRO BRASIL LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0031584	17.226.994/0004-04	LEMOS E RAGO LTDA	MG	ATIVO	31/12/2024	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0032051	08.706.183/0001-77	LGR INDUSTRIA E COMERCIO DE PRODUTOS DE LIMPEZA EI	RS	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0031441	35.738.290/0001-50	LIFECHEMM COMERCIO DE INGREDIENTES E QUIMICOS LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0031840	91.839.837/0001-84	LIKO INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTD	RS	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0032067	21.960.054/0001-79	LUCASFLEX IND. E COM. DE TINTAS E VERNIZES LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	14/07/2023
0032129	44.381.747/0001-02	LUKSNOVA SA INDUSTRIA E COMERCIO	SP	ATIVO	12/06/2024	29/02/2024	31/12/2023	Não se aplica	Não se aplica	Ok
0032151	11.996.574/0001-88	LUMIX INDUSTRIA DE TINTAS E VERNIZES LTDA	SP	ATIVO	03/08/2024	30/05/2024	31/12/2025	Não se aplica	Não se aplica	Ok
0031898	13.628.137/0001-37	LUZCOLOR INDUSTRIA E COMERCIO LTDA	MG	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0031966	00.464.374/0001-68	LUZTOL INDUSTRIA QUIMICA LTDA	GO	ATIVO	30/10/2024	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0031828	53.031.654/0001-49	MAJICPLAST EMBALAGENS LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	10/06/2026	Não se aplica	Não se aplica	Ok
0031911	28.695.018/0001-74	MARCEL DE OLIVEIRA 21917220839	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0031908	04.224.837/0001-75	MASSA PLASTICA CARFORT LTDA	ES	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0000552	96.230.719/0001-98	MAZA PRODUTOS QUIMICOS LTDA	SP	ATIVO	10/07/2024	31/12/2024	31/12/2025	Não se aplica	Não se aplica	Ok
0031965	53.635.272/0001-24	MAZDA EMBALAGENS LTDA EM RECUPERACAO JUDICIAL	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	14/07/2023
0032244	11.412.931/0001-13	MEKAL INDUSTRIA DE TINTAS LTDA	RS	ATIVO	05/03/2024	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
