Descricao	Ativo	Pais Origem	Cidade Origem	Pais Destino	Cidade Destino	ID Terminal Alfandg	Nome Terminal Alfandg2	Prazo Dias Para Embarcar Após Po	Prazo Dias De Transito Porto A Porto	Prazo Dias De Transferência Para Porto Seco	Prazo Dias Para Registro De Di	Prazo Dias Para Desembaraço + Averbação	Prazo Dias Para Transporte Interno	Prazo Dias Para Descarregamento	Prazo Dias Devolução De Vazios	Leatime Total
Espanha - Santos - Local Frio (São Paulo)	S	Espanha		Brasil	São Paulo	8	Santos - Local Frio	20	24	15	1	2	0	0	0	62
Espanha - Santos - Santos Brasil (São Paulo)	S	Espanha		Brasil	São Paulo	2	Santos - Santos Brasil	20	24	15	1	2	0	0	0	62
Espanha - Superterminais (Manaus)	S	Espanha		Brasil	Manaus	7	Superterminais	20	28	0	2	1	1	1	0	53
Holanda - Chibatão (Manaus)	S	Holanda		Brasil	Manaus	1	Chibatão	20	48	0	2	1	1	1	0	73
Holanda - Itajaí (Santa Catarina)	S	Holanda		Brasil	Santa Catarina	9	Itajaí	20	38	0	2	1	7	0	0	68
Holanda - Itapoa (Santa Catarina)	S	Holanda		Brasil	Santa Catarina	3	Itapoa	20	38	0	2	1	7	0	0	68
Holanda - Portonave (Santa Catarina)	S	Holanda		Brasil	Santa Catarina	4	Portonave	20	38	0	2	1	7	0	0	68
Holanda - Santos - BTP (São Paulo)	S	Holanda		Brasil	São Paulo	5	Santos - BTP	20	38	15	1	2	0	0	0	76
Holanda - Santos - Embraport (São Paulo)	S	Holanda		Brasil	São Paulo	6	Santos - Embraport	20	38	15	1	2	0	0	0	76
Holanda - Santos - Local Frio (São Paulo)	S	Holanda		Brasil	São Paulo	8	Santos - Local Frio	20	38	15	2	2	0	0	0	77
Holanda - Santos - Santos Brasil (São Paulo)	S	Holanda		Brasil	São Paulo	2	Santos - Santos Brasil	20	38	15	1	2	0	0	0	76
Holanda - Superterminais (Manaus)	S	Holanda		Brasil	Manaus	7	Superterminais	20	48	0	2	1	1	1	0	73
Índia - Chibatão (Manaus)	S	Índia		Brasil	Manaus	1	Chibatão	20	74	0	2	1	1	1	0	99
Índia - Itajaí (Santa Catarina)	S	Índia		Brasil	Santa Catarina	9	Itajaí	20	45	0	2	1	7	0	0	75
Índia - Itapoa (Santa Catarina)	S	Índia		Brasil	Santa Catarina	3	Itapoa	20	45	0	2	1	7	0	0	75
Índia - Portonave (Santa Catarina)	S	Índia		Brasil	Santa Catarina	4	Portonave	20	45	0	2	1	7	0	0	75
Índia - Santos - BTP (São Paulo)	S	Índia		Brasil	São Paulo	5	Santos - BTP	20	45	15	1	2	0	0	0	83
Índia - Santos - Embraport (São Paulo)	S	Índia		Brasil	São Paulo	6	Santos - Embraport	20	45	15	1	2	0	0	0	83
Índia - Santos - Local Frio (São Paulo)	S	Índia		Brasil	São Paulo	8	Santos - Local Frio	20	45	15	1	2	0	0	0	83
Índia - Santos - Santos Brasil (São Paulo)	S	Índia		Brasil	São Paulo	2	Santos - Santos Brasil	20	45	15	1	2	0	0	0	83
Índia - Superterminais (Manaus)	S	Índia		Brasil	Manaus	7	Superterminais	20	74	0	2	1	1	1	0	99
Inglaterra - Chibatão (Manaus)	S	Inglaterra		Brasil	Manaus	1	Chibatão	20	58	0	2	1	1	1	0	83
Inglaterra - Itajaí (Santa Catarina)	S	Inglaterra		Brasil	Santa Catarina	9	Itajaí	20	24	0	2	1	7	0	0	54
Inglaterra - Itapoa (Santa Catarina)	S	Inglaterra		Brasil	Santa Catarina	3	Itapoa	20	24	0	2	1	7	0	0	54
Inglaterra - Portonave (Santa Catarina)	S	Inglaterra		Brasil	Santa Catarina	4	Portonave	20	24	0	2	1	7	0	0	54
Inglaterra - Santos - BTP (São Paulo)	S	Inglaterra		Brasil	São Paulo	5	Santos - BTP	20	24	15	1	2	0	0	0	62
Inglaterra - Santos - Embraport (São Paulo)	S	Inglaterra		Brasil	São Paulo	6	Santos - Embraport	20	24	15	1	2	0	0	0	62
Inglaterra - Santos - Local Frio (São Paulo)	S	Inglaterra		Brasil	São Paulo	8	Santos - Local Frio	20	24	15	1	2	0	0	0	62
Inglaterra - Santos - Santos Brasil (São Paulo)	S	Inglaterra		Brasil	São Paulo	2	Santos - Santos Brasil	20	24	15	1	2	0	0	0	62
Inglaterra - Superterminais (Manaus)	S	Inglaterra		Brasil	Manaus	7	Superterminais	20	58	0	2	1	1	1	0	83
Itália - Chibatão (Manaus)	S	Itália		Brasil	Manaus	1	Chibatão	20	58	0	2	1	1	1	0	83
Itália - Itajaí (Santa Catarina)	S	Itália		Brasil	Santa Catarina	9	Itajaí	20	44	0	2	1	7	0	0	74
Itália - Itapoa (Santa Catarina)	S	Itália		Brasil	Santa Catarina	3	Itapoa	20	44	0	2	1	7	0	0	74
Itália - Portonave (Santa Catarina)	S	Itália		Brasil	Santa Catarina	4	Portonave	20	44	0	2	1	7	0	0	74
Itália - Santos - BTP (São Paulo)	S	Itália		Brasil	São Paulo	5	Santos - BTP	20	44	15	1	2	0	0	0	82
Itália - Santos - Embraport (São Paulo)	S	Itália		Brasil	São Paulo	6	Santos - Embraport	20	44	15	1	2	0	0	0	82
Itália - Santos - Local Frio (São Paulo)	S	Itália		Brasil	São Paulo	8	Santos - Local Frio	20	44	15	1	2	0	0	0	82
Itália - Santos - Santos Brasil (São Paulo)	S	Itália		Brasil	São Paulo	2	Santos - Santos Brasil	20	44	15	1	2	0	0	0	82
Itália - Superterminais (Manaus)	S	Itália		Brasil	Manaus	7	Superterminais	20	58	0	2	1	1	1	0	83
Omã - Chibatão (Manaus)	S	Omã		Brasil	Manaus	1	Chibatão	20	70	0	2	1	1	1	0	95
Omã - Itajaí (Santa Catarina)	S	Omã		Brasil	Santa Catarina	9	Itajaí	20	60	0	2	1	7	0	0	90
Omã - Itapoa (Santa Catarina)	S	Omã		Brasil	Santa Catarina	3	Itapoa	20	60	0	2	1	7	0	0	90
Omã - Portonave (Santa Catarina)	S	Omã		Brasil	Santa Catarina	4	Portonave	20	60	0	2	1	7	0	0	90
Omã - Santos - BTP (São Paulo)	S	Omã		Brasil	São Paulo	5	Santos - BTP	20	60	15	1	2	0	0	0	98
Omã - Santos - Embraport (São Paulo)	S	Omã		Brasil	São Paulo	6	Santos - Embraport	20	60	15	1	2	0	0	0	98
Omã - Santos - Local Frio (São Paulo)	S	Omã		Brasil	São Paulo	8	Santos - Local Frio	20	60	15	1	2	0	0	0	98
Omã - Santos - Santos Brasil (São Paulo)	S	Omã		Brasil	São Paulo	2	Santos - Santos Brasil	20	60	15	1	2	0	0	0	98
Omã - Superterminais (Manaus)	S	Omã		Brasil	Manaus	7	Superterminais	20	70	0	2	1	1	1	0	95
Tailândia - Chibatão (Manaus)	S	Tailândia		Brasil	Manaus	1	Chibatão	20	50	0	2	1	1	1	0	75
Tailândia - Itajaí (Santa Catarina)	S	Tailândia		Brasil	Santa Catarina	9	Itajaí	20	45	0	2	1	7	0	0	75
Tailândia - Itapoa (Santa Catarina)	S	Tailândia		Brasil	Santa Catarina	3	Itapoa	20	45	0	2	1	7	0	0	75
Tailândia - Portonave (Santa Catarina)	S	Tailândia		Brasil	Santa Catarina	4	Portonave	20	45	0	2	1	7	0	0	75
Tailândia - Santos - BTP (São Paulo)	S	Tailândia		Brasil	São Paulo	5	Santos - BTP	20	45	15	1	2	0	0	0	83
Tailândia - Santos - Embraport (São Paulo)	S	Tailândia		Brasil	São Paulo	6	Santos - Embraport	20	45	15	1	2	0	0	0	83
Tailândia - Santos - Local Frio (São Paulo)	S	Tailândia		Brasil	São Paulo	8	Santos - Local Frio	20	45	15	1	2	0	0	0	83
Tailândia - Santos - Santos Brasil (São Paulo)	S	Tailândia		Brasil	São Paulo	2	Santos - Santos Brasil	20	45	15	1	2	0	0	0	83
Tailândia - Superterminais (Manaus)	S	Tailândia		Brasil	Manaus	7	Superterminais	20	50	0	2	1	1	1	0	75
Taiwan - Chibatão (Manaus)	S	Taiwan		Brasil	Manaus	1	Chibatão	20	50	0	2	1	1	1	0	75
Taiwan - Itajaí (Santa Catarina)	S	Taiwan		Brasil	Santa Catarina	9	Itajaí	20	45	0	2	1	7	0	0	75
Taiwan - Itapoa (Santa Catarina)	S	Taiwan		Brasil	Santa Catarina	3	Itapoa	20	45	0	2	1	7	0	0	75
Taiwan - Portonave (Santa Catarina)	S	Taiwan		Brasil	Santa Catarina	4	Portonave	20	45	0	2	1	7	0	0	75
Taiwan - Santos - BTP (São Paulo)	S	Taiwan		Brasil	São Paulo	5	Santos - BTP	20	45	15	1	2	0	0	0	83
Taiwan - Santos - Embraport (São Paulo)	S	Taiwan		Brasil	São Paulo	6	Santos - Embraport	20	45	15	1	2	0	0	0	83
Taiwan - Santos - Local Frio (São Paulo)	S	Taiwan		Brasil	São Paulo	8	Santos - Local Frio	20	45	15	1	2	0	0	0	83
Taiwan - Santos - Santos Brasil (São Paulo)	S	Taiwan		Brasil	São Paulo	2	Santos - Santos Brasil	20	45	15	1	2	0	0	0	83
Taiwan - Superterminais (Manaus)	S	Taiwan		Brasil	Manaus	7	Superterminais	20	50	0	2	1	1	1	0	75
Vietnã - Chibatão (Manaus)	S	Vietnã		Brasil	Manaus	1	Chibatão	20	50	0	2	1	1	1	0	75
Vietnã - Itajaí (Santa Catarina)	S	Vietnã		Brasil	Santa Catarina	9	Itajaí	20	45	0	2	1	7	0	0	75
Vietnã - Itapoa (Santa Catarina)	S	Vietnã		Brasil	Santa Catarina	3	Itapoa	20	45	0	2	1	7	0	0	75
Vietnã - Portonave (Santa Catarina)	S	Vietnã		Brasil	Santa Catarina	4	Portonave	20	45	0	2	1	7	0	0	75
Vietnã - Santos - BTP (São Paulo)	S	Vietnã		Brasil	São Paulo	5	Santos - BTP	20	45	15	1	2	0	0	0	83
Vietnã - Santos - Embraport (São Paulo)	S	Vietnã		Brasil	São Paulo	6	Santos - Embraport	20	45	15	1	2	0	0	0	83
Vietnã - Santos - Local Frio (São Paulo)	S	Vietnã		Brasil	São Paulo	8	Santos - Local Frio	20	45	15	1	2	0	0	0	83
Vietnã - Santos - Santos Brasil (São Paulo)	S	Vietnã		Brasil	São Paulo	2	Santos - Santos Brasil	20	45	15	1	2	0	0	0	83
Vietnã - Superterminais (Manaus)	S	Vietnã		Brasil	Manaus	7	Superterminais	20	50	0	2	1	1	1	0	75
