CODIUSER	ID_EMPRESA	incl_data	incl_user	incl_device	modi_data	modi_user	modi_device	excl_data	excl_user	excl_device
4	11	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4	13	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4	14	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4	15	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5	3	2023-10-19 10:56:59.850	fabio	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
5	4	2023-10-19 10:56:59.850	fabio	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
5	5	2023-10-19 10:56:59.850	fabio	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
5	6	2023-10-19 10:56:59.850	fabio	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
5	7	2023-10-19 10:56:59.850	fabio	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
5	8	2023-10-19 10:56:59.850	fabio	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
5	9	2023-10-19 10:56:59.850	fabio	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
5	10	2023-10-19 10:56:59.850	fabio	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
5	11	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5	12	2023-10-19 10:56:59.850	fabio	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
5	13	2023-10-19 10:56:59.850	fabio	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
5	14	2023-10-19 10:56:59.850	fabio	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
5	15	2023-10-19 10:56:59.850	fabio	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
6	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
7	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
8	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
8	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
8	5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
8	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
8	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
8	8	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
8	9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
8	10	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
8	11	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
8	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
8	13	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
8	14	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
8	15	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
10	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
10	3	2023-09-25 13:40:26.277	fabio	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
10	4	2023-09-25 13:40:26.277	fabio	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
10	5	2023-09-25 13:40:26.277	fabio	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
10	6	2023-09-25 13:40:26.277	fabio	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
10	7	2023-09-25 13:40:26.277	fabio	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
10	8	2023-09-25 13:40:26.277	fabio	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
10	9	2023-09-25 13:40:26.277	fabio	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
10	10	2023-09-25 13:40:26.277	fabio	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
10	11	2023-09-25 13:40:26.277	fabio	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
10	12	2023-09-25 13:40:26.277	fabio	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
10	13	2023-09-25 13:40:26.277	fabio	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
10	14	2023-09-25 13:40:26.277	fabio	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
10	15	2023-09-25 13:40:26.277	fabio	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
11	3	2023-10-17 10:06:32.480	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
11	4	2023-10-17 10:06:32.480	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
11	5	2023-10-17 10:06:32.480	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
11	6	2023-10-17 10:06:32.480	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
11	7	2023-10-17 10:06:32.480	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
11	8	2023-10-17 10:06:32.480	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
11	9	2023-10-17 10:06:32.480	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
11	10	2023-10-17 10:06:32.480	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
11	11	2023-10-17 10:06:32.480	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
11	12	2023-10-17 10:06:32.480	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
11	13	2023-10-17 10:06:32.480	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
11	14	2023-10-17 10:06:32.480	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
11	15	2023-10-17 10:06:32.480	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
12	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
13	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
14	3	2024-01-09 10:52:46.793	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
14	4	2024-01-09 10:52:46.793	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
14	5	2024-01-09 10:52:46.793	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
14	6	2024-01-09 10:52:46.793	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
14	7	2024-01-09 10:52:46.793	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
14	8	2024-01-09 10:52:46.793	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
14	9	2024-01-09 10:52:46.793	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
14	10	2024-01-09 10:52:46.793	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
14	11	2024-01-09 10:52:46.793	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
14	12	2024-01-09 10:52:46.793	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
14	13	2024-01-09 10:52:46.793	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
14	14	2024-01-09 10:52:46.793	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
14	15	2024-01-09 10:52:46.793	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
15	1	2024-01-10 09:55:31.577	admin	PC/192.168.1.64	NULL	NULL	NULL	NULL	NULL	NULL
15	3	2024-01-10 09:55:31.577	admin	PC/192.168.1.64	NULL	NULL	NULL	NULL	NULL	NULL
15	4	2024-01-10 09:55:31.577	admin	PC/192.168.1.64	NULL	NULL	NULL	NULL	NULL	NULL
15	5	2024-01-10 09:55:31.577	admin	PC/192.168.1.64	NULL	NULL	NULL	NULL	NULL	NULL
15	6	2024-01-10 09:55:31.577	admin	PC/192.168.1.64	NULL	NULL	NULL	NULL	NULL	NULL
15	7	2024-01-10 09:55:31.577	admin	PC/192.168.1.64	NULL	NULL	NULL	NULL	NULL	NULL
15	8	2024-01-10 09:55:31.577	admin	PC/192.168.1.64	NULL	NULL	NULL	NULL	NULL	NULL
15	9	2024-01-10 09:55:31.577	admin	PC/192.168.1.64	NULL	NULL	NULL	NULL	NULL	NULL
15	10	2024-01-10 09:55:31.577	admin	PC/192.168.1.64	NULL	NULL	NULL	NULL	NULL	NULL
15	11	2024-01-10 09:55:31.577	admin	PC/192.168.1.64	NULL	NULL	NULL	NULL	NULL	NULL
15	12	2024-01-10 09:55:31.577	admin	PC/192.168.1.64	NULL	NULL	NULL	NULL	NULL	NULL
15	13	2024-01-10 09:55:31.577	admin	PC/192.168.1.64	NULL	NULL	NULL	NULL	NULL	NULL
15	14	2024-01-10 09:55:31.577	admin	PC/192.168.1.64	NULL	NULL	NULL	NULL	NULL	NULL
15	15	2024-01-10 09:55:31.577	admin	PC/192.168.1.64	NULL	NULL	NULL	NULL	NULL	NULL
16	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
16	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
16	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
16	8	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
16	9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
16	10	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
16	14	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
17	3	2024-01-10 13:03:26.653	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
17	4	2024-01-10 13:03:26.653	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
17	5	2024-01-10 13:03:26.653	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
17	6	2024-01-10 13:03:26.653	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
17	7	2024-01-10 13:03:26.653	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
17	8	2024-01-10 13:03:26.653	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
17	9	2024-01-10 13:03:26.653	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
17	10	2024-01-10 13:03:26.653	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
17	11	2024-01-10 13:03:26.653	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
17	12	2024-01-10 13:03:26.653	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
17	13	2024-01-10 13:03:26.653	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
17	14	2024-01-10 13:03:26.653	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
17	15	2024-01-10 13:03:26.653	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
18	3	2024-01-11 16:44:57.923	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
18	4	2024-01-11 16:44:57.923	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
18	5	2024-01-11 16:44:57.923	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
18	6	2024-01-11 16:44:57.923	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
18	7	2024-01-11 16:44:57.923	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
18	8	2024-01-11 16:44:57.923	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
18	9	2024-01-11 16:44:57.923	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
18	10	2024-01-11 16:44:57.923	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
18	11	2024-01-11 16:44:57.923	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
18	12	2024-01-11 16:44:57.923	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
18	13	2024-01-11 16:44:57.923	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
18	14	2024-01-11 16:44:57.923	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
18	15	2024-01-11 16:44:57.923	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
19	3	2024-01-11 16:12:59.723	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
19	4	2024-01-11 16:12:59.723	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
19	5	2024-01-11 16:12:59.723	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
19	6	2024-01-11 16:12:59.723	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
19	7	2024-01-11 16:12:59.723	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
19	8	2024-01-11 16:12:59.723	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
19	9	2024-01-11 16:12:59.723	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
19	10	2024-01-11 16:12:59.723	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
19	11	2024-01-11 16:12:59.723	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
19	12	2024-01-11 16:12:59.723	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
19	13	2024-01-11 16:12:59.723	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
19	14	2024-01-11 16:12:59.723	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
19	15	2024-01-11 16:12:59.723	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
20	5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
20	11	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
20	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
20	13	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
20	15	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
21	5	2024-01-16 10:45:54.230	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
21	11	2024-01-16 10:45:54.230	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
21	12	2024-01-16 10:45:54.230	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
21	13	2024-01-16 10:45:54.230	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
21	15	2024-01-16 10:45:54.230	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
22	3	2024-01-23 16:24:10.360	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
22	4	2024-01-23 16:24:10.360	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
22	5	2024-01-23 16:24:10.360	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
22	6	2024-01-23 16:24:10.360	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
22	7	2024-01-23 16:24:10.360	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
22	8	2024-01-23 16:24:10.360	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
22	9	2024-01-23 16:24:10.360	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
22	10	2024-01-23 16:24:10.360	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
22	11	2024-01-23 16:24:10.360	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
22	12	2024-01-23 16:24:10.360	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
22	13	2024-01-23 16:24:10.360	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
22	14	2024-01-23 16:24:10.360	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
22	15	2024-01-23 16:24:10.360	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
23	1	2024-02-28 18:27:07.803	admin	PC/10.1.0.45	NULL	NULL	NULL	NULL	NULL	NULL
23	3	2024-01-30 17:22:24.187	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
23	4	2024-01-30 17:22:24.187	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
23	5	2024-01-30 17:22:24.187	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
23	6	2024-01-30 17:22:24.187	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
23	7	2024-01-30 17:22:24.187	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
23	8	2024-01-30 17:22:24.187	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
23	9	2024-01-30 17:22:24.187	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
23	10	2024-01-30 17:22:24.187	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
23	11	2024-01-30 17:22:24.187	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
23	12	2024-01-30 17:22:24.187	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
23	13	2024-01-30 17:22:24.187	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
23	14	2024-01-30 17:22:24.187	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
23	15	2024-01-30 17:22:24.187	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
24	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
24	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
24	14	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
25	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
25	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
25	14	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
26	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
26	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
27	1	2024-03-21 18:55:01.080	admin	PC/10.1.0.45	NULL	NULL	NULL	NULL	NULL	NULL
27	3	2024-03-21 18:55:01.080	admin	PC/10.1.0.45	NULL	NULL	NULL	NULL	NULL	NULL
27	4	2024-03-21 18:55:01.080	admin	PC/10.1.0.45	NULL	NULL	NULL	NULL	NULL	NULL
27	5	2024-03-21 18:55:01.080	admin	PC/10.1.0.45	NULL	NULL	NULL	NULL	NULL	NULL
27	6	2024-03-21 18:55:01.080	admin	PC/10.1.0.45	NULL	NULL	NULL	NULL	NULL	NULL
27	7	2024-03-21 18:55:01.080	admin	PC/10.1.0.45	NULL	NULL	NULL	NULL	NULL	NULL
27	8	2024-03-21 18:55:01.080	admin	PC/10.1.0.45	NULL	NULL	NULL	NULL	NULL	NULL
27	9	2024-03-21 18:55:01.080	admin	PC/10.1.0.45	NULL	NULL	NULL	NULL	NULL	NULL
27	10	2024-03-21 18:55:01.080	admin	PC/10.1.0.45	NULL	NULL	NULL	NULL	NULL	NULL
27	11	2024-03-21 18:55:01.080	admin	PC/10.1.0.45	NULL	NULL	NULL	NULL	NULL	NULL
27	12	2024-03-21 18:55:01.080	admin	PC/10.1.0.45	NULL	NULL	NULL	NULL	NULL	NULL
27	13	2024-03-21 18:55:01.080	admin	PC/10.1.0.45	NULL	NULL	NULL	NULL	NULL	NULL
27	14	2024-03-21 18:55:01.080	admin	PC/10.1.0.45	NULL	NULL	NULL	NULL	NULL	NULL
27	15	2024-03-21 18:55:01.080	admin	PC/10.1.0.45	NULL	NULL	NULL	NULL	NULL	NULL
28	3	2024-04-05 17:39:32.510	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
28	4	2024-04-05 17:39:32.510	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
28	5	2024-04-05 17:39:32.510	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
28	6	2024-04-05 17:39:32.510	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
28	7	2024-04-05 17:39:32.510	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
28	8	2024-04-05 17:39:32.510	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
28	9	2024-04-05 17:39:32.510	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
28	10	2024-04-05 17:39:32.510	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
28	11	2024-04-05 17:39:32.510	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
28	12	2024-04-05 17:39:32.510	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
28	13	2024-04-05 17:39:32.510	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
28	14	2024-04-05 17:39:32.510	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
