Item	Descrição do Item	Tipo
100054	PAPEL SULFITE A4 DIM 210X297MM COR BR GRAMATURA 75G PT 500FL	uso e consumo
100062	FOGAO INDUSTRIAL 4 BOCAS MAT QUEIMADOR FERRO FUNDIDO ESTRUTURA AC DIM 82X73X81CM GAS GLP CONSUMO GAS 0,190G/H	uso e consumo
100063	CLIPS PONTA TRIANGULAR DIMENSIONAL 2/0 MAT ACO GALVANIZADO EMB CX 100UN	uso e consumo
100068	KIT INSTALACAO MANGUEIRA/REGISTRO P/FOGAO ALTA PRESSAO	uso e consumo
100069	REFRIGERANTE COCA COLA EMB 2L	uso e consumo
100070	BOLO CENOURA C/CHOCOLATE	uso e consumo
100071	PAO/BAGUETE	uso e consumo
100072	REFEICAO	uso e consumo
100074	SACO P/LIXO MAT PLAST COR PT CAPAC 20L PCT 100UN	uso e consumo
100075	TUBO CONDUCAO ACO CARBONO NORMA NBR5580L ACABAM GALV FOGO DIAM NOM 3POL ESP 8,4 EXTREMIDADE LISA	uso e consumo
100080	ETIQUETA AUTOADESIVA MAT PAPEL FORMATO RETANG DIM 240X215MM COR AZ PCT C/1000UN	uso e consumo
100083	ROLAMENTO FIXO ESFERAS 1 CARREIRA DIM 55X120X29MM PROTECAO FECHADO GAIOLA METAL LAMINADO CLASSE FOLGA C3	uso e consumo
100084	ROLAMENTO FIXO ESFERAS 1 CARREIRA DIM 20X47X14MM PROTECAO FECHADO GAIOLA METAL LAMINADO CLASSE FOLGA C3	uso e consumo
100085	ROLAMENTO FIXO ESFERAS 1 CARREIRA DIM 25X52X15MM PROTECAO FECHADO GAIOLA METAL LAMINADO CLASSE FOLGA C3	uso e consumo
100086	ROLAMENTO FIXO ESFERAS 1 CARREIRA DIM 45X85X19MM PROTECAO FECHADO GAIOLA METAL LAMINADO CLASSE FOLGA C3	uso e consumo
100087	ROLAMENTO FIXO ESFERAS 1 CARREIRA DIM 45X100X25MM PROTECAO FECHADO GAIOLA METAL LAMINADO CLASSE FOLGA C3	uso e consumo
100088	ROLAMENTO FIXO ESFERAS 1 CARREIRA DIM 35X80X21MM PROTECAO FECHADO GAIOLA METAL LAMINADO CLASSE FOLGA C3	uso e consumo
100089	ROLAMENTO FIXO ESFERAS 1 CARREIRA DIM 10X30X9MM PROTECAO FECHADO GAIOLA METAL LAMINADO CLASSE FOLGA C3	uso e consumo
100090	ROLAMENTO FIXO ESFERAS 1 CARREIRA DIM 30X72X19MM PROTECAO FECHADO GAIOLA METAL LAMINADO CLASSE FOLGA C3	uso e consumo
100091	ROLAMENTO FIXO ESFERAS 2 CARREIRA DIM 30X72X27MM PROTECAO ABERTO GAIOLA METAL LAMINADO CLASSE FOLGA C3	uso e consumo
100092	ROLAMENTO FIXO ESFERAS 1 CARREIRA DIM 55X100X21MM PROTECAO ABERTO GAIOLA METAL LAMINADO CLASSE FOLGA C3	uso e consumo
100094	ROLAMENTO FIXO ESFERAS 1 CARREIRA DIM 25X62X17MM PROTECAO FECHADO GAIOLA METAL LAMINADO CLASSE FOLGA C3	uso e consumo
100095	ROLAMENTO AXIAL ROLOS CILINDRICOS DIM 30X62X20MM GAIOLA AC	uso e consumo
100096	ROLAMENTO AXIAL ROLOS CILINDRICOS DIM 50X90X20MM GAIOLA PA REFORCADO FIBRA VIDRO	uso e consumo
100097	RETENTOR VED DIM 28X47X7MM MAT VED NITRILICA C/GUARDA PO/LABIO C/MOLA TRACAO ORIENTACAO LABIO VERT TIPO PERFIL BORRACHA	uso e consumo
100098	RETENTOR VED DIM 62X90X12MM MAT VED NITRILICA C/GUARDA PO/LABIO C/MOLA TRACAO ORIENTACAO LABIO VERT TIPO PERFIL BORRACHA	uso e consumo
100099	RETENTOR VED DIM 32X52X7MM MAT VED NITRILICA C/GUARDA PO/LABIO C/MOLA TRACAO ORIENTACAO LABIO VERT TIPO PERFIL BORRACHA	uso e consumo
100100	ENGRENAGEM COMPONENTE APLICACAO MOTOREDUTOR MODELO RF87 3896 SEW EURODRIVE	uso e consumo
100101	EIXO COMPONENTE APLICACAO MOTOREDUTOR MODELO RF87 3263 SEW EURODRIVE	uso e consumo
100102	PINHAO COMPONENTE APLICACAO MOTOREDUTOR MODELO RF87 2982 SEW EURODRIVE	uso e consumo
100103	ROLAMENTO AXIAL ROLOS CILINDRICOS DIM 50X90X20MM GAIOLA PA	uso e consumo
100104	TAMPAO BORRACHA DUREZA 90 SHORE A FORMATO RETANG DIM 62X8MM	uso e consumo
100105	TAMPAO BORRACHA DUREZA 90 SHORE A FORMATO RETANG DIM 30X8MM	uso e consumo
100106	JUNTA VED CIRC FACE RF MAT VITON COR GR 90 SHORE A DIAM INT 72MM DIAM EXT 84MM ESP 1,4MM PRESSAO 200BAR TEMP TRAB 100°C	uso e consumo
100116	DISTANCIADOR COMPONENTE APLICACAO MOTOREDUTOR MODELO RF47 1087 SEW EURODRIVE	uso e consumo
100118	PLACA ABS COR VM ESP 2MM LARG 30CM COMP 30CM	uso e consumo
100119	PLACA ABS COR LJ ESP 2MM LARG 30CM COMP 40CM	uso e consumo
100121	FITA ADESIVA VINIL COR TRANSPARENTE DIM 48MMX100M	uso e consumo
100122	FITA ADESIVA VINIL COR TRANSPARENTE DIM 12MMX40M	uso e consumo
100124	FITA ISOLANTE ELETRICA TENSAO ISOL 750V TIPO ADESIVA MAT PVC LARG 19MM ESP 0,19MM COMP 20M COR PT	uso e consumo
100126	BROCHE REDONDO MAT METAL GRAVACAO CIPA	uso e consumo
100127	GRAMPO GALVANIZADO 26/6 CX C/5000 UN	uso e consumo
100129	FITA ADESIVA CREPE COR BR LARG 48MMX50M	uso e consumo
100130	COPO DESCARTAVEL MAT PP 180ML COR TR CX 2500UN	uso e consumo
100132	BALAO FUNDO REDONDO MAT VIDRO BOROSILICATO VOLUME 6000ML TIPO PESCOCO CURTO FECHAMENTO ROLHA	uso e consumo
100133	BALAO FUNDO REDONDO MAT VIDRO BOROSILICATO VOLUME 500ML TIPO PESCOCO CURTO FECHAMENTO ROLHA	uso e consumo
100134	DESTILADOR AGUA TIPO COLUNA MAT VIDRO CAPAC 100ML	uso e consumo
100135	DESTILADOR AGUA TIPO COLUNA MAT VIDRO CAPAC 250ML	uso e consumo
100136	FUNIL SEPARACAO FORMA SEMI ESFERA MAT/ACAB VIDRO BOROSILICATO CAPAC 500ML S/GRADUACAO C/TORNEIRA PLAST C/ROLHA	uso e consumo
100138	TUBO CONDUCAO ACO INOX AISI 304 DIAM NOM 2POL ESP 2,77 C/COSTURA EXTREMIDADE LISA	uso e consumo
100139	FLANGE PESCOCO AI AISI 304 DIAM NOM 2POL ESP/CLASSE SCH10 CLASSE PRESSAO 150LBS NORMA CONST ANSI B16 5 TIPO FACE RF	uso e consumo
100140	DESENGRIPANTE/LUBRIFICANTE BASE MINERAL ESTADO FISICO LIQUIDO EMB 300ML	uso e consumo
100141	CURVA ACO INOX AISI 304 ANG 90° TIPO RAIO CURTO DIAM NOM 2POL ESPESSURA 1MM S/COSTURA EXTREMIDADE LISA	uso e consumo
100142	CURVA ACO INOX AISI 304 ANG 45° TIPO RAIO CURTO DIAM NOM 2POL ESPESSURA 1MM S/COSTURA EXTREMIDADE LISA	uso e consumo
100144	SABAO PO 5KG	uso e consumo
100146	DISPLAY/TECLADO P/CLP MODELO 9091	uso e consumo
100147	LIQUIDOS DERRAMADOS TIPO LIQUIDO DIVERSOS ABSORCAO 20L APRES CORDAO 1,20M	uso e consumo
100148	ELETRODO SOLDA AC SECAO CIRCULAR DIAM 2,4MM COMP 150MM CLASSIFICACAO WT20	uso e consumo
100149	PROTETOR P/TOCHA SOLDA VONDER TN12/SR9 CURTA TBI	uso e consumo
100150	DIFUSOR P/TOCHA SOLDA TIG GAS LENS FABRICANTE VONDER MODELO SR09/20 DIAM 1,6MM	uso e consumo
100151	PINCA P/ELETRODO TOCHA TN12/SR9/20/21 TBI TAM 24,5MM	uso e consumo
100152	BOCAL P/TOCHA SOLDA TIG GAS LENS APLICACAO OXI BAETA SR/09/20 TAM 8 MAT CERAMICA	uso e consumo
100153	BOCAL P/TOCHA SOLDA TIG GAS LENS APLICACAO OXI BAETA SR/09/20 TAM 9,5 MAT CERAMICA	uso e consumo
100154	ELETRODO SOLDA AC SECAO CIRCULAR DIAM 1,58MM COMP 150MM CLASSIFICACAO WT20	uso e consumo
100155	VARETA SOLDA ACO INOX NORMA MAT ER 308L DIAM NOM 160MM NORMA ER 308L	uso e consumo
100156	ELETRODO SOLDA AC SECAO CIRCULAR DIAM 1,58MM COMP 150MM CLASSIFICACAO AISI 308L	uso e consumo
100157	DIFUSOR P/TOCHA SOLDA TIG GAS LENS FABRICANTE VONDER MODELO SR17/18/26 DIAM 2,4MM	uso e consumo
100158	ADAPTADOR P/SOLDAGEM MAT BZ DIM 13MMX9MM CONEXAO M18X1,5 PRESSAO 300	uso e consumo
100162	BOCAL P/TOCHA SOLDA TIG APLICACAO OXI BAETA TIPO 17/18/26 TBI TAMANHO 11 MAT CERAMICA	uso e consumo
100163	LAMINA SERRA MANUAL MAT BI-METAL DIM 12POL COMP 300MM 24 DENTES	uso e consumo
100164	LAMINA SERRA MANUAL MAT BI-METAL DIM 12POL COMP 300MM 18 DENTES	uso e consumo
100168	ABRACADEIRA AMARRACAO CABO MAT NYLON COR BR COMP 250MM LARG 3,6MM ESP 1MM	uso e consumo
100169	ABRACADEIRA AMARRACAO CABO MAT NYLON COR BR COMP 250MM LARG 4,8MM ESP 1MM	uso e consumo
100170	ABRACADEIRA AMARRACAO CABO MAT NYLON COR BR COMP 300MM LARG 3,6MM ESP 1MM	uso e consumo
100171	PASTA SAPONACEA P/LIMPEZA GERAL EMB 4,5KG	uso e consumo
100172	GAS GLP ONU 1075 CLASSE RISCO 2.1	uso e consumo
100174	FENOLFTALEINA FUNCAO INDICADOR ESTADO SOLIDO APRESENTACAO 100GR	uso e consumo
100182	PROGRAMADOR HORARIO MAT ABS CONFIG PADRAO TENSAO 100-240VCA DISPLAY LCD DIGITAL AUTONOMIA 12H 40 MEMORIA FIX TRILHO DIN	uso e consumo
100188	PORCA COMPONENTE APLICACAO CAMINHAO MODELO CARGO 2428E 2068210590306 FORD	uso e consumo
100189	CINEMATICO COMPONENTE APLICACAO CAMINHAO MODELO CARGO 2428E 2096304006808 FORD	uso e consumo
100190	CALOTA COMPONENTE APLICACAO CAMINHAO MODELO CARGO 2428E 2041874630007 FORD	uso e consumo
100191	MOLA COMPONENTE APLICACAO CAMINHAO MODELO CARGO 2428E 2015770601300 FORD	uso e consumo
100192	FLANGE COMPONENTE APLICACAO CAMINHAO MODELO CARGO 2428E 2093189506003 FORD	uso e consumo
100193	TUBO COMPONENTE APLICACAO CAMINHAO MODELO CARGO 2428E CC0141 FORD	uso e consumo
100194	TUBO COMPONENTE APLICACAO CAMINHAO MODELO CARGO 2428E 2049365032309 FORD	uso e consumo
100195	PORCA COMPONENTE APLICACAO CAMINHAO MODELO CARGO 2428E 2000901004600 FORD	uso e consumo
100196	MOLA COMPONENTE APLICACAO CAMINHAO MODELO CARGO 2428E 2054173120001 FORD	uso e consumo
100197	LONA COMPONENTE APLICACAO CAMINHAO MODELO CARGO 2428E 2028684469300 FORD	uso e consumo
100198	ROLETE COMPONENTE APLICACAO CAMINHAO MODELO CARGO 2428E 2092586483504 FORD	uso e consumo
100199	FIXADOR COMPONENTE APLICACAO CAMINHAO MODELO CARGO 2428E 2088126328602 FORD	uso e consumo
100200	MOLA COMPONENTE APLICACAO CAMINHAO MODELO CARGO 2428E 2033379517402 FORD	uso e consumo
100201	RETENTOR COMPONENTE APLICACAO CAMINHAO MODELO CARGO 2428E TC0070 FORD	uso e consumo
100202	TRAVA COMPONENTE APLICACAO CAMINHAO MODELO CARGO 2428E TC0076 FORD	uso e consumo
100203	TINTA EPOXI VER SOLIDO BASE AGUA IMPERMEAVEL NUMERO 1 COMPONENTE ACAB BRILHANTE GALAO 3,6L	uso e consumo
100204	ADESIVO NUMERICO MAT POLIETILENO REDONDO DIM 9X5CM TEXTO NUM 1 PT	uso e consumo
100206	PAPEL HIGIENICO FOLHA DUPLA 64X30M	uso e consumo
100207	PAPEL TOALHA FOLHA DUAS DOBRAS DIM 20X21CM COR BR FD C/1000FL	uso e consumo
100212	PAPEL TOALHA FOLHA SIMPLES DIM 20X21CM INTERFOLHA 100% CELULOSE 2 DOBRAS COR BR FD C/1000FL	uso e consumo
100214	CAIXA P/ARQUIVO MORTO MAT PAPELAO KRAFT COR PARDO DIM 365X255X140MM	uso e consumo
100223	COPO DESCARTAVEL MAT PP 180ML COR BR CX 2500UN	uso e consumo
100237	MANGUEIRA P/HIGIENIZACAO TIPO LEVE MAT BORR PRESSAO 2000PSI DIAM 1/4POL	uso e consumo
100238	ENGATE FLEX PVC RIGIDO PREDIAL DIM 1/2POL COMP 7CM	uso e consumo
100243	PINCEL MARCADOR QUADRO BRANCO COR AZ PONTA REDONDA 3MM	uso e consumo
100244	PINCEL MARCADOR QUADRO BRANCO COR PT PONTA REDONDA 3MM	uso e consumo
100246	PINCEL MARCADOR QUADRO BRANCO COR VM PONTA REDONDA 3MM	uso e consumo
100248	REFEICOES	uso e consumo
100250	CAPA DE MP - PE	contabiliza estoque
100251	SACARIA DE MATERIA PRIMA PE	contabiliza estoque
100252	APARA PLASTICA DE FILME STRETCH	contabiliza estoque
100259	CILINDRO P/FECHADURA TIPO MONOBLOCO ACO CROMO	uso e consumo
100260	CADEADO CORPO LATAO MACICO LARG 35MM HASTE CURTA ACO CEMENTADO ALT 5,55MM CHAVE LATAO	uso e consumo
100263	FITA ADESIVA TEFLON COR BR LARG 18MM ESP 0,06MM COMP 50M	uso e consumo
100264	MANGUEIRA PVC ESPIRAL SUCCAO DIAM 1POL COR AZ	uso e consumo
100265	BUCHA REDUCAO MAT ACO GALV DIAM NOM ROSCA 1.1/2X3/4BSP	uso e consumo
100266	TE TUBO REDUCAO MAT ACO GALVANIZADO DIAM TUBO 1.1/2X3/4BSP ROSCAVEL	uso e consumo
100267	ESPIGAO MACHO MAT LATAO DIAM 1X1POL COMP 70MM	uso e consumo
100268	ADAPTADOR PVC RIGIDO PREDIAL CURTO AGUA FRIA CONEXAO ROSCAVEL DIAM 25MMX3/4POL	uso e consumo
100269	JOELHO PVC RIGIDO PREDIAL ANG 90°C AGUA FRIA CONEXAO SOLDAVEL DIAM 32MM	uso e consumo
100270	BUCHA REDUCAO PVC RIGIDO PREDIAL CURTO AGUA FRIA CONEXAO SOLDAVEL DIAM 32X25MM	uso e consumo
100271	CADEADO MAT CORP LATAO MACICO LARG 25MM HASTE CURTA ALT HASTE 22MM MAT HASTE ACO CHAVE LATAO	uso e consumo
100272	INSETICIDA USO GERAL BASE AGUA AEROSOL 380ML	uso e consumo
100273	LAMPADA LED BULBO TENSAO 110V CONSUMO 15W TEMP 6500K CORPO PLAST COR BR BASE E27 ANG ILUM 200°C	uso e consumo
100274	LAMPADA LED TUBULAR TENSAO 110V CONSUMO 10W TEMP 6500K CORPO PLAST COR BR BASE G13 ANG ILUM 200°C	uso e consumo
100275	REFLETOR LED POTENCIA C/LAMPADA 100W DIM 137X163CM	uso e consumo
100276	ALICATE UNIVERSAL MAT ACO EMPUNHADURA POLIMERO COR LJ TAM 8POL ISOL 1000V	uso e consumo
100277	ESCOVA MANUAL MAT PLASTICO COR MARRON C/CABO MATERIAL FIO ACO DIM 290X31X73 MM	uso e consumo
100278	TOMADA EMBUTIR HORIZONTAL CORRENTE 20A TENSAO 220V POLOS 2P+T PINO POLO UNIVERSAL	uso e consumo
100279	LAMPADA LED TUBULAR TENSAO 110V CONSUMO 18W TEMP 220V CORPO PLAST COR BRANCO FRIO BASE G13 ANG ILUM 200°C	uso e consumo
100280	ESPELHO PLANO P/SENSOR RETANGULAR DIM 3/4X1/2POL	uso e consumo
100281	FITA P/AMARRACAO EMBALAGENS MAT POLIPROPILENO TRANSPARENTE LARG 48MM ESP 0,045MM	uso e consumo
100282	BUJAO FERRO FUNDIDO TIPO MACHO ACAB GALVANIZADO DIAM/ROSCA 1/2BSP CLASSE 10	uso e consumo
100283	LAMPADA HALOGENA TIPO BULBO A55 POT 105W TENSAO 220V FLUXO LUM 1825LM BASE E27 DIAM 55MM COMP 95MM	uso e consumo
100284	CILINDRO OXIGENIO APLICACAO SOLDA MAT ACO CARB CAPACIDADE 50L PRESSAO 250 BAR	uso e consumo
100285	TINTA TIPO ESMALTE LIQUIDA BASE OLEO IMPERMEAVEL BICOMPONENTE COR ALUMINIO BRILHANTE SPRAY 360ML	uso e consumo
10029	ROLO PINTURA MATERIAL LA LARG 9CM C/CABO	uso e consumo
10030	TINTA ACRILICA LIQUIDA BASE AGUA BICOMPONENTE COR AM ACAB FOSCO LATA 3,6L	uso e consumo
10031	TRINCHA SIMPLES TAM 2POL MATERIAL CERDAS GRIS	uso e consumo
10032	PALLET MADEIRA 2 ENTRADAS 1 FACE REFORCADA DIM 20X115X115CM 13 RIPAS	uso e consumo
10033	VASELINA SOLIDA POTE 480G	uso e consumo
10034	AREIA P/CONSTRUCAO CIVIL TIPO MEDIA GRANULOMETRIA 1,2MM 1M³ SACO 20KG	uso e consumo
10035	OLEO TRANSFERENCIA CALOR CLASSIF VISCOS 97 TAMBOR 200L	uso e consumo
10039	PASTA SAPONACEA P/LIMPEZA GERAL EMB 25KG	uso e consumo
10040	ABRACADEIRA P/MANGUEIRA DIAM MANGUEIRA 1,5POL MAT ACO CARBONO	uso e consumo
10044	BOTINA SEG MAT NOBUCK COR MARRON SOLADO PU BIDEN PT NUM 41 CANO CURTO BICO POLIPROPILENO FECHAM CADARÇO	uso e consumo
10045	BOTINA SEG MAT NOBUCK COR MARRON SOLADO PU BIDEN PT NUM 42 CANO CURTO BICO POLIPROPILENO FECHAM CADARÇO	uso e consumo
10048	COPO DESCARTAVEL MAT PP 300ML COR TR CX 2000UN	uso e consumo
10049	FITA ADESIVA CREPE BEGE LARG 18MM COMPRIMENTO 45M	uso e consumo
10050	COPO DESCARTAVEL MAT PP 300ML COR TR PT C/100UN	uso e consumo
10051	COPO DESCARTAVEL MAT PP 180ML COR BR PT C/100UN	uso e consumo
10052	ALCOOL 99,5%	contabiliza estoque
10055	BALDE C/TAMPA CAPAC 20L MAT PLASTICO COR BR C/ALCA TAMPA PRESSAO CONSTR CILIND ALT 380 BOCA 260 ESP BALDE/TAMPA 1,5	uso e consumo
10056	BALDE C/TAMPA CAPAC 3,6L MAT PLASTICO COR BR C/ALCA TAMPA PRESSAO CONSTR CILIND ALT 156 BOCA 193 ESP BALDE/TAMPA 1,5	uso e consumo
10057	PAO FRANCES	uso e consumo
10060	ESPIGAO MACHO MAT LATAO DIAM 1X1POL COMP 65MM	uso e consumo
10061	VALVULA RETENCAO P/FUNDO POCO RETO VERTICAL MAT LATAO CONEXAO 1.1/2POL PRESSAO MAXIMA 200PSI	uso e consumo
10062	VALVULA RETENCAO P/FUNDO POCO RETO VERTICAL MAT LATAO CONEXAO 1POL PRESSAO MAXIMA 200PSI	uso e consumo
10063	PEDRISCO BRITADO CZ GRANULOMETRIA 4,8 MM	uso e consumo
10064	FITA ISOLANTE ELETRICA TENS ISOL 69000V TIPO AUTOFUSAO MAT TNT LARG 19MM ESP 0,76MM COMP 5M COR PT	uso e consumo
10065	PREGO CABECA CHATA MAT ACO DIM 15X21MM EMB 1KG	uso e consumo
10066	CALCULADORA MESA DISPLAY DIGITAL 12 DIG DIM 3X12X14,5CM MAT TECLAS PLASTICO COR PT ALIM PILHA AA	uso e consumo
10067	TESOURA USO GERA CORTE RETO MAT ACO INOX CABO PLASTICO DIM 7,5POL	uso e consumo
10068	GAXETA ACRILICA SECAO QUADRADA DIM 1/4POL MAT TEFLONADA PH MIN/MAX 2-13 TEMP 260°C PRESSAO 100BAR VEL M/S 15	uso e consumo
10069	GAXETA ACRILICA SECAO QUADRADA DIM 3/4POL MAT TEFLONADA PH MIN/MAX 2-13 TEMP 260°C PRESSAO 100BAR VEL M/S 15	uso e consumo
10071	FORTCOM 3100 STD P	contabiliza estoque
10072	MASCARA RESPIRADORA DESCARTAVEL MAT PFF2 S/FILTRO APLICACAO PO/FUMOS/GASES TAM ÚNICO C/VALVULA EXALACAO CA38503	uso e consumo
10073	LUVA SEG MAT ALGODAO COR AZ PUNHO ALGODAO TAM 8 COMP 7CM ACAB BANHO NITRILICO TOTAL CA 25116	uso e consumo
10074	LUVA SEG MAT ALGODAO COR AZ PUNHO ALGODAO TAM 9 COMP 7CM ACAB BANHO NITRILICO TOTAL CA 25116	uso e consumo
10075	LUVA SEG MAT ALGODAO COR AZ PUNHO ALGODAO TAM 10 COMP 7CM ACAB BANHO NITRILICO TOTAL CA 25116	uso e consumo
10078	LUVA SEG MAT PVC COR AZUL PUNHO PVC TAM 10 COMP 36CM ACAB ASPERO CA26043	uso e consumo
10079	SELO MECANICO DIAM EIXO 3/4POL VED PRIMARIA CERAMICA VED SECUNDARIA BORRACHA VITON PARTE METALICA ACO INOX	uso e consumo
10080	ROLAMENTO AXIAL ESFERAS 1 CARREIRA DIM 15X28X9MM GAIOLA METAL	uso e consumo
10081	ELEMENTO ELASTICO APLICACAO ACOPLAMENTO TIPO PNEU	uso e consumo
10083	PROGRAMADOR CHAMA ALIMENT 220V FREQ 50-60HZ	uso e consumo
10084	ALCOOL ETILICO LIMPEZA 70% LIQUIDO FRASCO 1L	uso e consumo
10085	COPO DESCARTAVEL MAT PLASTICO 180ML COR BR C/100 UN	uso e consumo
10088	BOMBA ENGRENAGENS TIPO HELICOIDAL SUCCAO/RECALQUE FLANGEADO 2POL VAZAO 16000L/H EXTREM EIXO CHAVETADO 23MM	uso e consumo
10090	CAMISETA PROF POLO MANGA CURTA TECIDO PIQUE MESCLA COR CINZA MESCLA TAM G3	uso e consumo
10092	INDICADOR DIG P/BALANCA MAT ACO CARBONO 1 DISPLAY 26MM 6 DIG ALIM 250V DIM 165X240X70MM GRAU PROT IP-65	uso e consumo
10093	ELEMENTO ELASTICO APLICACAO	uso e consumo
10094	GALAO FORM CILINDRICO COR ALUMINIO MAT BOMBONA FLANDRES CAPAC 3,6L FECH TAMPA ENCAIXE	uso e consumo
10095	LATA MAT FLANDRES CAPAC 900ML PRODUTO RESINA DIM 105X120MM	contabiliza estoque
10099	PORCA TIPO OLHAL NORMA DIN 582 ROSCA/DIAM NOM UNC5/8 ALT 61MM MAT ACO CARB ZINCADO CLASSE 6	uso e consumo
1010	MENSALIDADE ECONET	uso e consumo
10100	OLEO LUBRIFICANTE BASE MINERAL VISCOS 20CST A 100GRC SAE 90 CLASS API GL5 GRAU SAE 90 BALDE 20L	uso e consumo
1010107	ETANOL ANIDRO (99,5%)	contabiliza estoque
10102	VERGALHAO CA50 SUPERFICIE NERVURADO DIAM NOM 12,5MM	uso e consumo
10103	REMOVEDOR LIQUIDA APLIC FERRUGEM SUPERF REMOVED METAIS EMB 500ML	uso e consumo
10104	ROLDANA CONSTR FIXA TIPO DUPLA MAT ACO DIAM 3POL CAPAC 800KG FIX CAIXA/PARAFUSO	uso e consumo
10105	SOLVENTE P/TINTA TIPO ESMALTE BASE HIDROCARBONETOS LIQUIDO INCOLOR LATA 900ML	uso e consumo
10106	CORANTE P/TINTA BASE AGUA COR PT FRASCO 50ML	uso e consumo
10107	TINTA ESMALTE SINTETICO LIQUIDA BASE OLEO IMPERMEAVEL BICOMPONENTE COR AZ BRILHANTE EMB 3,6L	uso e consumo
